Time[s], Í¨µÀ 0
-0.315448, 1
-0.313828, 0
-0.313288, 1
-0.311668, 0
-0.311127, 1
-0.310587, 0
-0.308967, 1
-0.308427, 0
-0.307886, 1
-0.306266, 0
-0.304646, 1
-0.304106, 0
-0.302485, 1
-0.301945, 0
-0.300321, 1
-0.299780, 0
-0.298150, 1
-0.295448, 0
-0.294908, 1
-0.293288, 0
-0.291668, 1
-0.291128, 0
-0.289507, 1
-0.288967, 0
-0.288426, 1
-0.287886, 0
-0.286265, 1
-0.284644, 0
-0.284104, 1
-0.283564, 0
-0.283024, 1
-0.281404, 0
-0.280864, 1
-0.279244, 0
-0.278704, 1
-0.276004, 0
-0.275464, 1
-0.273843, 0
-0.272223, 1
-0.271683, 0
-0.271143, 1
-0.269522, 0
-0.267901, 1
-0.266281, 0
-0.264660, 1
-0.264120, 0
-0.263580, 1
-0.261960, 0
-0.260339, 1
-0.259799, 0
-0.259259, 1
-0.258719, 0
-0.258178, 1
-0.255478, 0
-0.254937, 1
-0.253317, 0
-0.252777, 1
-0.251156, 0
-0.250616, 1
-0.250076, 0
-0.248455, 1
-0.247915, 0
-0.247375, 1
-0.246835, 0
-0.246295, 1
-0.245755, 0
-0.244135, 1
-0.242515, 0
-0.241975, 1
-0.241435, 0
-0.239815, 1
-0.237115, 0
-0.236574, 1
-0.234954, 0
-0.234414, 1
-0.232794, 0
-0.231174, 1
-0.229554, 0
-0.229014, 1
-0.227394, 0
-0.226853, 1
-0.226313, 0
-0.225773, 1
-0.225233, 0
-0.224693, 1
-0.224153, 0
-0.222532, 1
-0.220912, 0
-0.219292, 1
-0.216591, 0
-0.216051, 1
-0.214431, 0
-0.212811, 1
-0.212271, 0
-0.211731, 1
-0.210111, 0
-0.209571, 1
-0.207952, 0
-0.207411, 1
-0.206872, 0
-0.205251, 1
-0.204712, 0
-0.203091, 1
-0.202551, 0
-0.202011, 1
-0.200390, 0
-0.199850, 1
-0.197149, 0
-0.196610, 1
-0.194991, 0
-0.193373, 1
-0.192834, 0
-0.192294, 1
-0.191755, 0
-0.190136, 1
-0.189597, 0
-0.187978, 1
-0.187439, 0
-0.185820, 1
-0.185281, 0
-0.183662, 1
-0.182044, 0
-0.180425, 1
-0.179886, 0
-0.179346, 1
-0.176650, 0
-0.176110, 1
-0.174492, 0
-0.173952, 1
-0.172334, 0
-0.171794, 1
-0.171255, 0
-0.170715, 1
-0.169097, 0
-0.168557, 1
-0.168017, 0
-0.167478, 1
-0.166938, 0
-0.165320, 1
-0.164781, 0
-0.164241, 1
-0.163702, 0
-0.162084, 1
-0.159387, 0
-0.158847, 1
-0.157229, 0
-0.155610, 1
-0.153992, 0
-0.153452, 1
-0.151834, 0
-0.151295, 1
-0.150755, 0
-0.150216, 1
-0.148598, 0
-0.148059, 1
-0.146441, 0
-0.144823, 1
-0.144284, 0
-0.143744, 1
-0.142126, 0
-0.141587, 1
-0.131146, 0
-0.129493, 1
-0.128988, 0
-0.128482, 1
-0.127977, 0
-0.126324, 1
-0.124670, 0
-0.123017, 1
-0.122511, 0
-0.120858, 1
-0.120353, 0
-0.119847, 1
-0.118194, 0
-0.117689, 1
-0.117184, 0
-0.116678, 1
-0.116173, 0
-0.115668, 1
-0.109862, 0
-0.109357, 1
-0.107703, 0
-0.107198, 1
-0.106693, 0
-0.106188, 1
-0.104534, 0
-0.104029, 1
-0.103524, 0
-0.103019, 1
-0.102513, 0
-0.100860, 1
-0.099206, 0
-0.097553, 1
-0.095899, 0
-0.095394, 1
-0.094889, 0
-0.094384, 1
-0.088579, 0
-0.088074, 1
-0.086420, 0
-0.085915, 1
-0.085410, 0
-0.084904, 1
-0.083251, 0
-0.081597, 1
-0.081092, 0
-0.079439, 1
-0.078934, 0
-0.077280, 1
-0.076775, 0
-0.076269, 1
